address,lat,long
504 Second St.,32.835098,-83.63028
505 Second St.,32.835098,-83.630585
530 Second St.,32.834892,-83.630455
531 Second St.,32.835052,-83.63092
534 Second St.,32.83469,-83.630211
562 Second St.,32.834358,-83.630508
566 Poplar St.,32.834614,-83.62989
576 Poplar St.,32.834896,-83.629906
582 Poplar St.,32.834957,-83.630005
584 Poplar St.,32.834976,-83.630035
586 Poplar St.,32.834999,-83.630074
905 Walnut St.,32.842068,-83.631485
1083 Washington Ave.,32.838795,-83.637573
652 Mulberry St.,32.838081,-83.628944
191 Rogers Ave.,32.85268,-83.654808
197 Rogers Ave.,32.85268,-83.654808
201 Spring St.,32.841991,-83.631783
306 Orange St.,32.842499,-83.63578
315 College St.,32.842846,-83.637505
501 College St.,32.839115,-83.63945
544 Orange St.,32.837963,-83.637924
586 Orange St.,32.836948,-83.637581
619 College St.,32.837601,-83.640366
640 Arlington Pl.,32.837639,-83.64122
647 College St.,32.837269,-83.640396
695 Orange St.,32.836315,-83.639229
784 College St.,32.835052,-83.641983
827 Tatnall St.,32.836456,-83.644127
842 Tatnall St.,32.836315,-83.644157
852 Tatnall St.,32.83622,-83.644203
853 Tatnall St.,32.836208,-83.644257
867 Tatnall St.,32.836037,-83.644348
881 Tatnall St.,32.835861,-83.644432
895 Tatnall St.,32.83569,-83.644524
910 Tatnall St.,32.835529,-83.644577
930 Tatnall St.,32.835396,-83.644684
931 College St.,32.835163,-83.644035
938 High St.,32.836761,-83.636841
948 Tatnall St.,32.835274,-83.644783
950 Adams St.,32.835869,-83.646088
966 Tatnall St.,32.835152,-83.64489
972 Maple St.,32.831699,-83.640427
980 Maple St.,32.831818,-83.640533
986 Adams St.,32.835644,-83.64608
988 High St.,32.837181,-83.637459
996 High St.,32.837212,-83.637566
1001 College St.,32.834942,-83.644218
1005 College St.,32.834835,-83.644333
1017 High St.,32.837791,-83.637405
1034 Columbus St.,32.833683,-83.640495
1073 Ash St.,32.829975,-83.644218
1122 Linden Ave.,32.83514,-83.648132
1147 Adams St.,32.83482,-83.647919
1211 Ross St.,32.831329,-83.644165
1225 Linden Ave.,32.834244,-83.649612
1246 Linden Ave.,32.833843,-83.649185
1264 Appleton Ave.,32.83559,-83.643059
1268 Ross. St.,32.830509,-83.644142
1286 Linden Ave.,32.833599,-83.649376
1295 Ross St.,32.83049,-83.644775
1395 Forsyth St.,32.83783,-83.643318
1407 Chestnut St.,32.835995,-83.644783
1432 Tatnall Pl.,32.836418,-83.644531
1433 Chestnut St.,32.836082,-83.64492
1451 Tatnall Pl.,32.836559,-83.644768
1452 Tatnall Pl.,32.83651,-83.644737
1460 Tatnall Pl.,32.836567,-83.644875
1468 Tatnall Pl.,32.836636,-83.645042
1469 Chestnut St.,32.836063,-83.645508
1472 Chestnut St.,32.835842,-83.645836
1474 Tatnall Pl.,32.836689,-83.645164
1475 Tatnall Pl.,32.836742,-83.64521
1480 Tatnall Pl.,32.836742,-83.645287
1482 Chesnut St.,32.836323,-83.645538
1493 Chestnut St.,32.836407,-83.645721
1525 Coleman Ave.,32.833214,-83.649239
1585 Lawton Ave.,32.834656,-83.648636
1602 Rembert Ave.,32.835094,-83.648705
1605 Rembert Ave.,32.835533,-83.648361
1609 Lawton Ave.,32.834785,-83.648949
1622 Lawton Ave.,32.834469,-83.649437
1638 Rembert Ave.,32.835278,-83.64901
1639 Rembert Ave.,32.83567,-83.648651
1641 Coleman Ave.,32.833782,-83.65023
1649 Lawton Ave.,32.835018,-83.649338
1657 Rembert Ave.,32.835758,-83.648781
1658 Lawton Ave.,32.834648,-83.649742
1675 Lawton Ave.,32.835182,-83.649605
Placemark 89,,
942 Highland Terrace,,
1326 Ross St.,,
1311 Ross St.,,
1315 Ross St.,,
1142 Ash St.,,
1212 Ross St.,,
1216 Ross St.,,
