address,lat,long
156 Madison St,32.845764,-83.637917
1235 Walnut St,32.845219,-83.637146
163 College St,32.845161,-83.63662
172 College St,32.844917,-83.636475
1125 Walnut St,32.844677,-83.635658
171 Orange St,32.844826,-83.63533
147 Orange St,32.845261,-83.635117
139 Orange St,32.84539,-83.635071
135 Orange St,32.845451,-83.63504
1093 Walnut St,32.844376,-83.635048
168 Orange St,32.844753,-83.635017
1087 Walnut St,32.844322,-83.634964
1063 Walnut St,32.844105,-83.634583
1055 Walnut St,32.844025,-83.634453
1047 Walnut St,32.843788,-83.634079
1043 Walnut St,32.843735,-83.633987
1039 Walnut St,32.843681,-83.633896
1037 Walnut St,32.843655,-83.63385
1031 Walnut St,32.843571,-83.633713
1027 Walnut St,32.843517,-83.633621
1013 Walnut St,32.843323,-83.633301
1001 Walnut St,32.843159,-83.633018
991 Walnut St,32.842899,-83.632584
983 Walnut St,32.842838,-83.632484
975 Walnut St,32.842777,-83.632385
969 Walnut St,32.842731,-83.632317
955 Walnut St,32.842628,-83.632141
939 Walnut St,32.842506,-83.631935
937 Walnut St,32.842491,-83.631912
178 Madison St,32.84523,-83.638161
179 College St,32.844723,-83.636818
195 College St,32.844486,-83.636871
190 College St,32.844563,-83.636543
196 College St,32.844494,-83.636574
206 College St,32.844395,-83.636688
215 Orange St,32.844166,-83.635628
227 Orange St,32.844009,-83.635704
239 Orange St,32.843849,-83.63578
1105 Bond St,32.843735,-83.635872
1125 Bond St,32.843796,-83.636063
1143 Bond St,32.843845,-83.636246
1167 Bond St,32.843906,-83.636482
218 Orange St,32.844013,-83.635361
230 Orange St,32.843857,-83.635429
1080 Walnut St,32.844048,-83.635048
1095 Bond St,32.843449,-83.635262
1087 Bond St,32.843384,-83.635162
1081 Bond St,32.843338,-83.635086
1075 Bond St,32.843292,-83.63501
1069 Bond St,32.843235,-83.634911
1057 Bond St,32.843124,-83.634773
1045 Bond St,32.843018,-83.634644
1039 Bond St,32.84296,-83.634567
1033 Bond St,32.842907,-83.634499
1025 Bond St,32.842834,-83.634415
1019 Bond St,32.842781,-83.634338
1013 Bond St,32.842728,-83.63427
1062 Walnut St,32.843884,-83.634766
1064 Walnut St,32.843903,-83.634804
1048 Walnut St,32.843597,-83.634308
