name,type,lat,long
Food Lion,shopping,32.832718,-83.744034
Mercer University,institution,32.831364,-83.647644
Coliseum Northside Hospital,healthcare,32.871368,-83.694534
Kroger,shopping,32.850277,-83.625732
US Post Office,civic,32.840069,-83.63929
Washington Memorial Library,civic,32.838783,-83.638298
Macon City Auditorium,tourist,32.837379,-83.631203
Oaks At Peake Healthcare Center,healthcare,32.867683,-83.758347
Kroger,shopping,32.878162,-83.760239
Wesleyan College,institution,32.874565,-83.716812
North Napier Apartments,residence,32.857037,-83.68824
Macon City Hall,civic,32.836037,-83.631744
Walmart Supercenter,shopping,32.863476,-83.610817
Walnut Hills Apartments,residence,32.866318,-83.60302
Mc Afee Towers,residence,32.857365,-83.617577
Bibb County Health Department,civic,32.848106,-83.623566
Coliseum Medical Center,healthcare,32.846363,-83.618835
Macon Coliseum Box Office,tourist,32.844513,-83.617439
Ocmulgee Indian Mounds N.P.,tourist,32.84837,-83.603432
Kmart,shopping,32.900734,-83.687302
Kroger,shopping,32.898972,-83.688866
Goodwill,shopping,32.814129,-83.691299
Macon State College Bookstore,shopping,32.808746,-83.733101
Walmart Supercenter,shopping,32.808971,-83.718765
Target,shopping,32.817379,-83.715286
Colonial Mall,shopping,32.81591,-83.696732
Central Georgia Technical College,institution,32.812077,-83.691917
Murphy Homes,residence,32.8148,-83.652176
Baltic Park Apartments,residence,32.809628,-83.652885
Greater Macon Chamber-Commerce,civic,32.843666,-83.617111
Bibb County Magistrate Court,civic,32.838039,-83.627831
Macon-Bibb County Transit Auth,civic,32.83383950168979,-83.6244535446167
